"Method","ARI","NMI","FM-Index","FMeasure","Dataset"
"FlowSOM",0.0455991966507633,0.0894069886467242,0.470975966749193,0.550771334900818,"Maldegem et al"
"FuseSOM",0.398657847483847,0.454090432834686,0.532406570364064,0.623541933497505,"Maldegem et al"
"FlowSOM",0.197972405382538,0.355574876861553,0.379536357706274,0.517871137080115,"Rendeiro et al"
"FuseSOM",0.391449047117286,0.449273818598528,0.45916773028409,0.576670074777829,"Rendeiro et al"
"FlowSOM",0.574545277528983,0.502888452599891,0.651545221638727,0.64624496253014,"Risom et al"
"FuseSOM",0.602910181871644,0.530318468879976,0.661088069294404,0.608116133918456,"Risom et al"
"FlowSOM",0.191673326430449,0.206593819619835,0.607310741167906,0.687949659127276,"Damond et al"
"FuseSOM",0.394285058526296,0.426489877756062,0.602045661135393,0.709140232383856,"Damond et al"
"FlowSOM",0.00504361923498416,0.0258737161445324,0.64091853020473,0.667549146503048,"Keren et al"
"FuseSOM",0.572839436810945,0.470601710502629,0.749010203780525,0.747607207903371,"Keren et al"
"FlowSOM",0.187747804854475,0.242460223504425,0.619488128969615,0.694357562839735,"Moldoveanu et al"
"FuseSOM",0.476805226911062,0.453104041227861,0.641048052834984,0.653765225278223,"Moldoveanu et al"
"FlowSOM",0.0119044119026682,0.0447145665519324,0.443566192646959,0.504513362825527,"Liu et al"
"FuseSOM",0.533392899406754,0.49619032291662,0.637955276864865,0.728930095356833,"Liu et al"
"FlowSOM",0.0977780738957737,0.0215917977443904,0.586144555444076,0.643403883335544,"Hoch et al"
"FuseSOM",0.386411025236903,0.193475821429406,0.666500421788921,0.64205363023964,"Hoch et al"
"FlowSOM",-0.00125099330651441,0.136710928262329,0.256893657246495,0.295269003571872,"Schurch et al"
"FuseSOM",0.432528900796998,0.508376600226282,0.488951162151778,0.601552430710274,"Schurch et al"
"FlowSOM",-0.00127424399900748,0.125401026055665,0.320840317913759,0.371359621899397,"Phillips et al"
"FuseSOM",0.366792912721397,0.46447352451916,0.470686073158616,0.577327876211045,"Phillips et al"
"FlowSOM",0.220684198366727,0.368208139462682,0.301328461088126,0.429659540218722,"McCaffrey et al"
"FuseSOM",0.271427174791318,0.383838119210639,0.35538258320274,0.494707365446923,"McCaffrey et al"
"FlowSOM",0.358575833111028,0.586506251296262,0.406233432575381,0.557298671178158,"Lohoff et al"
"FuseSOM",0.381456119007554,0.582177500295076,0.432017707439682,0.558379413554956,"Lohoff et al"
"FlowSOM",0.138870290120535,0.117126483591104,0.522508142513553,0.606069506864175,"Bortolomeazzi et al"
"FuseSOM",0.546745843001065,0.370078428675069,0.672133663339199,0.680579391555042,"Bortolomeazzi et al"
"FlowSOM",0.0146985931025635,0.07715406961347,0.315869904003437,0.333043998705092,"Brbic et al intestine"
"FuseSOM",0.416254869274833,0.580160244450635,0.483247743248238,0.610140664889794,"Brbic et al intestine"
"FlowSOM",0.00822236396694312,0.0272258420467837,0.424385918689815,0.460001993028946,"Brbic et al tonsil"
"FuseSOM",0.468475013862636,0.55108046265356,0.562161320366684,0.668700498151317,"Brbic et al tonsil"
