"ARI","NMI","FM-Index","FMeasure","Metric","Dataset"
0.421442839197527,0.461441709678481,0.550342346086437,0.640419056851584,"pearson","Maldegem et al"
0.400806025657782,0.429892026728309,0.523713682184255,0.616291129159275,"pearson","Maldegem et al"
0.380539449908279,0.449309522079095,0.536362099805577,0.610140223822859,"pearson","Maldegem et al"
0.397898672076406,0.454033825520893,0.527637264355186,0.611261500082861,"pearson","Maldegem et al"
0.399086447287078,0.439267573265812,0.533607913136327,0.623277714625267,"pearson","Maldegem et al"
0.129209223175989,0.228005168703919,0.45615768544153,0.558871477070338,"euclidean","Maldegem et al"
0.10629054727413,0.181859428260396,0.460552194606831,0.547174660670622,"euclidean","Maldegem et al"
0.113965843845177,0.196290083037496,0.490856742632585,0.574661504886081,"euclidean","Maldegem et al"
0.0641787974854886,0.145312256634808,0.46015715660343,0.529872744098064,"euclidean","Maldegem et al"
0.113671806804615,0.184913788059534,0.477748927750156,0.561435490443757,"euclidean","Maldegem et al"
0.577708965775894,0.550742461160189,0.624292804253034,0.683953708062188,"pearson","Rendeiro et al"
0.549411231526973,0.522256324905928,0.599255822120482,0.657764381394745,"pearson","Rendeiro et al"
0.527273136680931,0.52226076753189,0.57893541128079,0.633799336982063,"pearson","Rendeiro et al"
0.556259685436189,0.537406649663583,0.604963096331448,0.655649730722015,"pearson","Rendeiro et al"
0.558843438349059,0.521862669179985,0.606942597615362,0.656807454245219,"pearson","Rendeiro et al"
0.188603339369889,0.39050846546338,0.30264168510225,0.419601532757757,"euclidean","Rendeiro et al"
0.315263020641979,0.437045604802351,0.406102160280069,0.520249233365356,"euclidean","Rendeiro et al"
0.149198232917064,0.36009737048454,0.297448699242622,0.422346526909872,"euclidean","Rendeiro et al"
0.181488109123786,0.397235362550891,0.30093871499634,0.407607075988816,"euclidean","Rendeiro et al"
0.264678911103228,0.434096801059784,0.368691828010226,0.513133991423335,"euclidean","Rendeiro et al"
0.659126474042248,0.544434463674376,0.713410915670763,0.646772862302491,"pearson","Risom et al"
0.627018252244987,0.550996323775537,0.687529455083265,0.655695208163411,"pearson","Risom et al"
0.661965577630163,0.547430387776628,0.715060576286171,0.64421481415056,"pearson","Risom et al"
0.689628876462312,0.573546230097129,0.737809903014043,0.675111064436348,"pearson","Risom et al"
0.624803216220416,0.536471970986826,0.690102024506341,0.642725651850054,"pearson","Risom et al"
0.652276549351707,0.52732765137232,0.708762162053954,0.657328072282617,"euclidean","Risom et al"
0.478328528348912,0.491508010553549,0.557729157069034,0.561499562274863,"euclidean","Risom et al"
0.61921506851472,0.505377993725974,0.692259251073681,0.680341533405429,"euclidean","Risom et al"
0.628139735043523,0.532597095722507,0.693355824122388,0.658529489461078,"euclidean","Risom et al"
0.621265758923932,0.50166393968246,0.695112250062733,0.679190978338985,"euclidean","Risom et al"
0.221683186747367,0.378609646151793,0.449104064608898,0.482440804145946,"pearson","Damond et al"
0.326013001330677,0.412648378059842,0.527680003990248,0.58390410039441,"pearson","Damond et al"
0.335025777642474,0.412081994123872,0.536824041265735,0.588561874105035,"pearson","Damond et al"
0.339610941814466,0.41077024822865,0.535604442431423,0.578345526761304,"pearson","Damond et al"
0.293344490859147,0.399127798670892,0.499167282148353,0.539629799975413,"pearson","Damond et al"
0.223426776879523,0.243436321251304,0.587932601868711,0.666153876108438,"euclidean","Damond et al"
0.231867807145604,0.250746472268223,0.594872077478675,0.6733220385532,"euclidean","Damond et al"
0.205435410263894,0.223575260374471,0.58831750732163,0.668185923161509,"euclidean","Damond et al"
0.253082559623129,0.269460833899489,0.606851265341654,0.674287532546764,"euclidean","Damond et al"
0.215277680723216,0.236124045057109,0.597894538577708,0.669024196224477,"euclidean","Damond et al"
0.109969030577032,0.133391350233022,0.487571431479257,0.502665934994678,"pearson","Hoch et al"
-0.00276784089714744,0.114151118024355,0.405885927268917,0.450029965170679,"pearson","Hoch et al"
0.113205971395304,0.130852793027877,0.535801222485315,0.58094522775907,"pearson","Hoch et al"
0.0542429183774279,0.134471305951656,0.436375499722117,0.4628548400836,"pearson","Hoch et al"
0.0648828109024092,0.117675077573632,0.501911996442192,0.543821823355605,"pearson","Hoch et al"
0.0925907393558073,0.0377055596057663,0.510602524076202,0.540519365822481,"euclidean","Hoch et al"
0.11583044977506,0.0653578111662652,0.473165654161237,0.498351811519542,"euclidean","Hoch et al"
0.0773886366792976,0.042518244532087,0.521468702094444,0.555182098900523,"euclidean","Hoch et al"
