"size","variable","value"
50000,"FuseSOM",0.303720928
1e+05,"FuseSOM",0.602105136
150000,"FuseSOM",0.900512488
2e+05,"FuseSOM",1.198913008
250000,"FuseSOM",1.497316192
3e+05,"FuseSOM",1.795707168
350000,"FuseSOM",2.094117384
4e+05,"FuseSOM",2.392508912
50000,"FlowSOM",2.549467912
1e+05,"FlowSOM",4.041520808
150000,"FlowSOM",5.534006408
2e+05,"FlowSOM",7.02546292
250000,"FlowSOM",8.516879888
3e+05,"FlowSOM",10.010409744
350000,"FlowSOM",11.501797376
4e+05,"FlowSOM",12.993146104
50000,"PhenGraph",0.042603408
1e+05,"PhenGraph",0.085477304
150000,"PhenGraph",0.128395008
2e+05,"PhenGraph",0.171563488
250000,"PhenGraph",0.214632368
3e+05,"PhenGraph",0.257807568
350000,"PhenGraph",0.301018264
4e+05,"PhenGraph",0.344148104
